NAME,URL,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,POWER,COMBAT,FULL_NAME,ALTER_EGOS,ALIASES,PLACE_OF_BIRTH,FIRST_APPEARANCE,CREATOR,ALIGNMENT,GENDER,RACE,HEIGHT,WEIGHT,EYE_COLOR,HAIR_COLOR,OCCUPATION,BASE,TEAM_AFFILIATION,RELATIVES,SKIN_COLOR,TOTAL_POWER
Hellstorm,/hellstorm/10-80/,80,65,60,75,90,65,Daimon Hellstrom,No alter egos found.,"Antichrist, Black Halo, the Devil, King of Hell, Prince of Lies, Satan, Son of Satan.","Greentown, Massachusetts",(as Hellstorm) West Coast Avengers (second series) #14,Marvel Comics,good,Male,-,6'1 : 185 cm,180 lb : 81 kg,Red,Red,"Ruler of Hell, former Demonologist, occult investigator, exorcist and priest","Hell, formerly San Francisco, California","Defenders, Midnight Sons","Hellcat (Patricia Walker, wife, deceased), Marduk Kurios (father (and son), aka Satan), Victoria Wingate Hellstrom (mother, deceased), Satana (sister), Jaine Cutter (consort)",,435
Hercules,/hercules/10-78/,85,100,50,85,90,100,Heracles,No alter egos found.,"Spider-Herc, The Lion of Olympus, The Defender of Olympus, The Scion of Olympus, Prince of Power, Alcaeus, Herakles, Herc, Harry Cleese, Victor Tegler, Agent 74","Thebes, Greece",-,Marvel Comics,good,Male,Demi-God,6'5 : 196 cm,325 lb : 146 kg,Blue,Brown,"Adventurer, Olympian God of Strength and Labor, later Olympian God of Heroes","Brooklyn; formerly Infinite Avengers Mansion, Mount Olympus, Avengers Mansion, Hydrobase","Olympians, Mighty Avengers, Gods, Avengers, Champions, God Squad, Champions of Los Angeles",-,,510
Hiro Nakamura,/hiro-nakamura/10-947/,75,15,95,20,100,35,Hiro Nakamura,No alter egos found.,"Jotaro Kujo, Takezo Kensei","Tokyo, Japan",-,NBC - Heroes,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,Office worker,-,No team connections added yet.,"Kaito Nakamura (deceased), Ishi Nakamura (deceased), Kimiko Nakamura (older sister)",,340
Hit-Girl,/hit-girl/10-1336/,80,10,30,20,30,65,Mindy McCready,No alter egos found.,"Hit Girl, Hitgirl",-,-,Icon Comics,good,Female,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,235
Hobgoblin,/hobgoblin/10-896/,65,60,60,60,65,60,Roderick Kingsley,Devil Spider II,-,-,-,Marvel Comics,bad,Male,-,5'11 : 180 cm,185 lb : 83 kg,Blue,Grey,Fashion designer,-,Formerly: The FIRM,Daniel Kingsley (brother),,370
Hollow,/hollow/10-931/,85,80,80,80,80,80,Monet St. Croix,No alter egos found.,"Penace, M, Monet St. Croix, Penny, Yvette",-,Generation X #1 (1994),Marvel Comics,good,Female,-,5'7 : 170 cm,- lb : 0 kg,Blue,Red,-,Massachusetts Academy; Phil Urich's aprtment,No team connections added yet.,"M, Emplate, St. Croix Twins",,485
Hope Summers,/hope-summers/10-1351/,85,10,15,35,95,75,Hope Summers,Phoenix,"Mutant Messiah, Messiah Child, Hub, Throat Slicer, Little Girl, Little Momma",-,X-Men Vol 2 #205 (2008),Marvel Comics,good,Female,-,5'6 : 168 cm,106 lb : 48 kg,Green,Red,-,-,Formerly: X-Men,"Louise Spalding (mother, deceased), unknown biological father, Mrs. Spalding (maternal grandmother), Cable (adoptive father, deceased), Hope (adoptive mother, deceased), Cyclops (adoptive grandfather), Red Queen / Phoenix (adoptive grandmothers, deceased?), X-Man (adoptive uncle), Marvel Girl (adoptive aunt), Havok (adoptive granduncle), Vulcan (adoptive granduncle, deceased), Deathbird (adoptive grandaunt)",,315
Howard the Duck,/howard-the-duck/10-82/,75,55,55,70,60,75,Howard (Last name unrevealed),No alter egos found.,"Duckman, Iron Duck, Pondhopper, Shang-Op, Cheap Ducktective, Duckboy, Dark Mallard of the Night","New Stork, New Stork, Duckworld",FEAR #19,Marvel Comics,good,Male,-,2'7 : 79 cm,40 lb : 18 kg,Brown,Yellow,"Many and various, including former candidate for the United States presidency but usually unemployed","Cleveland, Ohio",Marvel Knights,"(according to one account) Ronald (father), Henrietta (mother), Theresa (sister), Orville (brother)",,390
Hulk,/hulk/10-83/,95,100,65,100,100,85,Robert Bruce Banner,"Bruce Banner, Bruce Banner (Hulkbuster), Doc Green, Ego Hulk, Grey Hulk, Heart of the Monster Hulk, Hulk (MCU), Immortal Hulk, Indestructible Hulk, Infernal Hulk, Maestro Hulk, Merged Hulk, Professor Hulk, Shulk, Space Punisher Hulk, War Hulk, World Breaker Hulk, World War Hulk","Annihilator, Captain Universe, Joe Fixit, Mr. Fixit, Mechano, Professor, Jade Jaws, Golly Green Giant","Dayton, Ohio","Incredible Hulk #1 (May, 1962)",Marvel Comics,good,Male,Human / Radiation,8'0 : 244 cm,1400 lb : 630 kg,Green,Green,"Nuclear physicist, Agent of S.H.I.E.L.D.","(Banner) Hulkbuster Base, New Mexico, (Hulk) mobile, but prefers New Mexico","The Mighty Avengers, Super Soldiers, Marvel Knights, Defenders, Secret Defenders, Contingency, Weapon X, Formerly: Apocalypse's Horsemen, Avengers, Four Horsemen of Apocalypse, The Ultimates","Betty Ross Talbot Banner (wife), Brian Banner (father, apparently deceased), Rebecca Banner (mother, deceased), Morris Walters (uncle), Elaine Banner Walters (aunt, deceased), Jennifer Walters (She-Hulk, cousin), Thaddeus E. 'Thunderbolt' Ross (father",Green,545
Human Torch,/human-torch/10-362/,85,15,65,70,90,45,Jonathan Lowell Spencer Storm,No alter egos found.,"Matchstick Johnny, Doug Brown","Glenville, Long Island, New York",Fantastic Four #1 (1961),Marvel Comics,good,Male,Human / Radiation,5'10 : 178 cm,170 lb : 77 kg,Blue,Blond,Adventurer,"Pier Four, New York City","Fantastic Four, Fantastic Five, Future Foundation, All-Winners Squad, Fantastic Four Incorporated, Avengers West Coast","Susan Richards - Invisible Woman (sister), Franklin Richards (nephew), Reed Richards - Mister Fantastic (brother-in-law) Lyja (ex-wife)",,370
Huntress,/huntress/10-707/,85,10,25,30,35,95,Helena Rosa Bertinelli,Batgirl III,"Batgirl, Sicilian, Mafia Princess",-,Huntress #1 (April 1989),DC Comics,good,Female,-,5'11 : 180 cm,130 lb : 59 kg,Blue,Black,Vigilante; High school English teacher,Mobile; primarily Gotham City and Metropolis,"Birds of Prey, Living Assault Weapons, Formerly: Justice Legion Alpha, Justice League, The Outsiders, Batman Family","Giuseppe Bertinelli (great-grandfather; deceased), Alfredo Bertinelli (grandfather; deceased), Franco Bertinelli (father; deceased), Maria Panessa Bertinelli (mother; deceased), Santo Cassamento (biological father; deceased), Pino Bertinelli (brother; deceased), Freddy Caldone (cousin; deceased), Tomaso Panessa (uncle), Graziella Panessa (aunt), Monica Simonetta Panessa (cousin), Claudio Panessa (cousin; deceased)",,280
Husk,/husk/10-84/,85,65,35,80,50,65,Paige Elisabeth Guthrie,No alter egos found.,Hayseed,"Cumberland, Kentucky","Rom Annual #3 (November, 1984)",Marvel Comics,good,Female,Mutant,5'7 : 170 cm,128 lb : 58 kg,Blue,Blond,"Adventurer; formerly student, activist","Base of operations unknown; formerly Xavier Institute, Salem Center, Westchester County, New York","Generation X, Formerly: X-Men","Thomas Zebulon Guthrie (father,deceased),Lucinda Guthrie (mother),Samuel Zachery Guthrie (brother,Cannonball),Joshua 'Jay' Guthrie (brother,Icarus),Joella Guthrie (sister),Elizabeth Guthrie (sister),Melody Guthrie (sister),Jeb Guthrie (brother),Lewis Guth",,380
Hybrid,/hybrid/10-10493/,85,65,60,75,100,80,-,No alter egos found.,"Guardsman Number Six, Terror of Brooklyn, Riot ,Phage , Lasher, Agony","Bedford-Stuyvesant, Brooklyn, New York City",Venom Along Came A Spider #2 (as Hybrid),Marvel Comics,good,Male,Symbiote,5'9 : 175 cm,172 lb : 77 kg,Brown,Black,-,"Bedford-Stuyvesant, Brooklyn, New York City, New York","Guardsmen, NYPD","Unnamed mother, Derek Washington (brother, deceased), Hybrid (""former symbiote"", defused)",,465
Hydro-Man,/hydro-man/10-1451/,75,15,25,80,70,50,Morris Bench,No alter egos found.,Morrie,"Bronx, New York","Amazing Spider-Man #212 (January, 1981)",Marvel Comics,bad,Male,-,6'2 : 188 cm,265 lb : 119 kg,Brown,Brown,Professional Criminal; former crewman of cargo ship,-,"The FIRM, Formerly: Frightful Four, Sinister Twelve",-,,315
Hyperion,/hyperion/10-1286/,95,100,100,95,90,80,-,No alter egos found.,"Mark Milton, Zhib-Ran, Mr. Kant, Marcus Milton",-,Avengers #85,Marvel Comics,good,Male,Eternal,6'0 : 183 cm,460 lb : 207 kg,Blue,Red,"Adventurer; (Formerly) Cartoonist, government agent",-,"Squadron Supreme, Formerly: Avengers, Thunderbolts",Mr. and Mrs. Hamilton (foster parents),,560
Iceman,/iceman/10-816/,85,35,55,100,100,65,Robert Louis Drake,Iceman (FOX),"Bobby Drake, Mister Friese, Drake Roberts, Rampage, Frozen One, Iceface","Fort Washington, Long Island, New York",X-Men #1,Marvel Comics,good,Male,Mutant,5'8 : 173 cm,145 lb : 65 kg,Brown,Brown,"Adventurer, formerly teacher, accountant, student",-,"X-Men, Ultimate X-Men, Cerebro's X-Men, Secret Defenders, Apocalypse's Horsemen, Champions, Champions of Los Angeles, Formerly: X-Factor","William Robert Drake (father), Madeline Beatrice Bass Drake (mother), Mary (cousin), Joel (cousin), Anne (aunt)",,440
Impulse,/impulse/10-895/,80,10,100,60,75,60,Bartholomew Allen II,"Flash IV, Kid Flash II","Flash IV, Kid Flash II",-,"Flash Vol 2 #92 (July, 1994)",DC Comics,good,Male,Human,5'7 : 170 cm,145 lb : 65 kg,Yellow,Auburn,"Adventurer, Student","San Francisco, formerly Los Angeles, Keystone City, Manchester, Alabama","Young Justice, Flash Family, Formerly: Teen Titans","Don Allen (father), Meloni Thawne (mother), Barry Allen (grandfather), Iris West-Allen (grandmother), President Thawne (grandfather), Captain Boomerang (Owen Mercer) (half-brother), Allen Family",,385
Indiana Jones,/indiana-jones/10-10560/,85,10,20,30,20,30,Henry Walton Jones Jr.,No alter egos found.,Indy,"Princeton, New Jersey",Raiders of the Lost Ark (1981),George Lucas,good,Male,Human,6'0 : 183 cm,176 lb : 79 kg,-,-,Archaeologist,-,No team connections added yet.,-,,195
Indigo,/indigo/10-708/,90,65,50,50,100,50,-,No alter egos found.,Indigo-1,-,"Green Lantern Vol 4 #25 (January, 2008)",DC Comics,neutral,Female,Alien,- : 0 cm,- lb : 0 kg,-,Purple,Leader of the Indigo Tribe,-,Indigo Tribe (Leader),-,,405
Ink,/ink/10-10337/,75,30,20,40,75,50,Eric Gitter,No alter egos found.,-,-,"Young X-Men #1 (May, 2008)",Marvel Comics,good,Male,Mutant,5'11 : 180 cm,180 lb : 81 kg,Blue,No Hair,-,-,Formerly: Young X-Men,-,,290
Invisible Woman,/invisible-woman/10-620/,95,10,30,85,95,60,Susan Storm Richards,No alter egos found.,Invisible Girl,"Glenville, Long Island, New York",FANTASTIC FOUR #1,Marvel Comics,good,Female,Human / Radiation,5'6 : 168 cm,120 lb : 54 kg,blue,Blond,"Member of the Fantastic Four, financial manager for Fantastic Four Inc, occasional model and actress","Pier Four, New York City","Fantastic Four, Fantastic Five, Future Foundation, Fantastic Four Incorporated, Formerly: S.H.I.E.L.D., Avengers","Reed Richards (Mister Fantastic, husband), Franklin Richards (son), Valeria Richards (daughter), Johnny Storm (Human Torch, brother), Franklin Storm (father, deceased), Mary Storm (mother, deceased), Marygay Jewel Dinkins (aunt), ""Bones"" (cousin), Evelyn Richards (mother-in-law, deceased), Nathaniel Richards (father-in-law), Cassandra Richards (Warlord, mother-in-law, deceased), unnamed child of Nathaniel Richards (brother-in-law), Tara Richards (Huntara, sister-in-law), Kristoff Vernard (alleged brother-in-law), Lyja (sister-in-law)",,375
Iron Fist,/iron-fist/10-1120/,90,55,35,50,95,100,Daniel Thomas Rand-K'ai,No alter egos found.,"Daredevil, Daniel Thomas Rand, the Living Weapon, Young Dragon, Danny Rand",-,Marvel Premiere #15 (May 1974),Marvel Comics,good,Male,Human,5'11 : 180 cm,175 lb : 79 kg,Blue,Blond,"Adventurer; formerly co-owner of Rand-Meachum, Inc., bodyguard, private investigator, research assistant, warrior",New York,"Heroes For Hire, Secret Defenders, Marvel Knights, Ultimate Fantastic Four, The Six, Formerly: Avengers","Wendell Rand-K'ai (father, deceased), Heather Duncan Rand (mother, deceased), Yu-Ti (adopted uncle), Miranda Rand-K'ai (half-sister), Lord Tuan (adopted paternal grandfather, deceased), Lady Ming (adopted paternal grandmother, deceased), Thomas Duncan (maternal grandfather)",,425
Iron Man,/iron-man/10-85/,100,85,60,85,100,65,Anthony Edward Stark,"Beyonder Iron Man, Iron Boy, Iron Man (Bleeding Edge), Iron Man (EMH), Iron Man (Endosym Armor), Iron Man (God-Killer), Iron Man (Hulkbuster Armor), Iron Man (Infinity Gauntlet), Iron Man (MCU), Iron Man (Model Prime), Iron Man (Model Prime) (MCU), Iron Man (Sorceror Supreme)","Iron Knight, Hogan Potts, Spare Parts Man, Cobalt Man II, Crimson Dynamo, Ironman","Long Island, New York","Tales of Suspence #39 (March, 1963)",Marvel Comics,good,Male,Human,6'6 : 198 cm,425 lb : 191 kg,Blue,Black,"Inventor, Industrialist; former United States Secretary of Defense","Seattle, Washington","Hulkbusters (Leader), Contingency (Leader), The Mighty Avengers, Marvel Knights, Avenging Host, Avengers West Coast, Formerly: Avengers, Guardians of the Galaxy, S.H.I.E.L.D., The Ultimates","Howard Anthony Stark (father, deceased), Maria Stark (mother, deceased), Morgan Stark (cousin), Isaac Stark (ancestor)",,495
Iron Monger,/iron-monger/10-886/,95,65,25,90,60,60,Obadiah Stane,Iron Monger (MCU),-,-,-,Marvel Comics,bad,Male,-,- : 0 cm,4230 lb : 2 tons,Blue,No Hair,CEO Stane International,-,"Superiour Six, National Force","Zebediah (father, deceased), unnamed mother (deceased), Ezekiel Stane (son)",,395
Isis,/isis/10-1164/,90,50,75,50,50,60,Adrianna Tomaz,No alter egos found.,-,-,(as Adrianna) 52 Week Three; (as Isis) 52 Week Twelve,DC Comics,good,Female,-,- : 0 cm,- lb : 0 kg,-,-,"Adventurer, formerly First Lady of Kahndaq, former slave","Shiruta, Kahndaq","Black Marvel Family, Justice Legion Alpha","Amon Tomaz (brother, deceased), Black Adam (husband)",,375
Jack of Hearts,/jack-of-hearts/10-86/,85,55,100,30,80,30,Jonathan Hart,No alter egos found.,-,"New Haven, Connecticut","Deadly Hands of Kung Fu #22 (March, 1976)",Marvel Comics,good,Male,Human,5'1 : 155 cm,175 lb : 79 kg,Blue / White,Brown,Adventurer,Avengers Mansion,Formerly: Avengers,"Philip (father, deceased), Marie (mother)",,380
Jack-Jack,/jack-jack/10-871/,35,35,70,80,100,10,Jac-jack Parr,No alter egos found.,-,-,"The Incredibles (Movie, 2004)",Dark Horse Comics,good,Male,Human,2'4 : 71 cm,30 lb : 14 kg,Blue,Brown,-,-,Incredible Family,"Robert Parr(Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), Dashiell Parr (Dash, brother)",,330
James Bond (Craig),/james-bond-craig/10-10404/,95,15,20,35,25,90,James Bond,"James Bond, James Bond (Brosnan), James Bond (Dalton), James Bond (Moore)","007, Commander Bond",-,"Casino Royale, 1953 novel",Ian Fleming,good,Male,Human,6'0 : 183 cm,- lb : 0 kg,blue,Blond,00 Agent,London,No team connections added yet.,"Andrew Bond (father), Monique Delacroix (mother)",,280
James T. Kirk,/james-t-kirk/10-10565/,85,15,20,30,30,75,James Tiberius Kirk,No alter egos found.,"Jim, Captain Kirk","Riverside, Iowa, Earth",Star Trek S01E01: The Man Trap,Star Trek,good,Male,Human,5'10 : 178 cm,170 lb : 77 kg,Hazel,Brown,Captain,-,"Federation, Starfleet","Winona Kirk (mother), George Kirk (father), George Samuel Kirk (brother), Michele Suzanne Kirk (sister)",,255
Jar Jar Binks,/jar-jar-binks/10-10563/,60,10,35,10,25,15,-,No alter egos found.,-,Naboo,-,George Lucas,good,Male,Gungan,6'4 : 193 cm,- lb : 0 kg,Yellow,-,-,-,No team connections added yet.,-,Orange / White,155
Jason Voorhees,/jason-voorhees/10-11127/,85,35,25,100,100,50,-,Jason X,-,-,Friday the 13th (1980),Dark Horse Comics,bad,Male,Human,6'3 : 191 cm,250 lb : 113 kg,Brown,Red,-,Camp Crystal Lake,No team connections added yet.,-,,395
Jean Grey,/jean-grey/10-814/,100,80,25,20,95,70,Jean Grey-Summers,"Apocalypse, Dark Phoenix, Phoenix, White Phoenix Of The Crown","Redd Dayspring, Marvel Girl",-,"X-Men #1 (September, 1963)",Marvel Comics,good,Female,Mutant,5'6 : 168 cm,115 lb : 52 kg,Green,Red,Adventurer,"Xavier Institute of Higher Learning, Westchester County, New York","X-Men, Cerebro's X-Men, Ultimate X-Men, Formerly: X-Factor","Rachel Summers (daughter from an alternate universe), X-Man (son from an alternate universe), Cyclops (ex-husband), Havok (former brother-in-law), Corsair (former father-in-law), Madelyne Pryor (clone), Cable (adoptive/biological son), Stryfe (cloned biological son), Genesis (grandson)",,390
Jean-Luc Picard,/jean-luc-picard/10-10567/,90,10,20,30,30,65,-,No alter egos found.,Locutus,"La Barre, France, Earth",Star Trek: The Next Generation (1987),Star Trek,good,Male,Human,- : 0 cm,- lb : 0 kg,-,-,Commanding officer USS Enterprise (NCC-1701-E),-,Starfleet,"Maurice Picard (father), Yvette Picard (mother), Robert Picard (brother), Shinzon (clone)",,245
Jennifer Kale,/jennifer-kale/10-1321/,90,10,35,45,75,75,Jennifer Kale,No alter egos found.,Wendy the Good Little Witch,"Citrusville, Florida",(Adventures into) Fear#11 (1972),Marvel Comics,good,Female,-,5'6 : 168 cm,122 lb : 55 kg,Blue,Blond,"Sorceress, student",-,Formerly: Midnight Sons,"Andrew Jackson Kale (brother, deceased), Joshua Kale (grandfather, deceased), Naomi Kale (aunt), Johnny Blaze ( Ghost Rider ), Barbara and Daniel Ketch (cousins); Illyana Kale, Noble and pastor Kale, Magdalena (ancestors)",,330
Jesse Quick,/jesse-quick/10-10544/,90,60,100,70,90,85,Jessica Belle Chambers,Liberty Belle II,-,-,-,DC Comics,good,Female,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,"Flash Family, Justice League, Justice Legion Alpha, Formerly: Justice Society of America",-,,495
Jessica Jones,/jessica-jones/10-10403/,80,45,50,70,20,55,Jessica Campbell Jones Cage,Power Woman,"Knightress, Madeline, Jewel, Power Woman","Forrest Hills, New York City","Amazing Spider-Man #4 (September, 1963)",Marvel Comics,good,Female,Human,5'7 : 170 cm,124 lb : 56 kg,Brown,Brown,"Special Consultant to ""The Pulse"", a Daily Bugle supplement; formerly private investigator, adventurer, short-time vigilante",-,"Marvel Knights, The Ultimates, The Six","unnamed mother (deceased); Dave Cambell (father, deceased); Phillip Cambell (brother, deceased); unnamed adoptive mother; unnamed adoptive father; unnamed adoptive sister; Jenny (adoptive aunt); Luke Cage (husband); Danielle Cage (daughter);",,320
Jessica Sanders,/jessica-sanders/10-1029/,,,,,,,-,No alter egos found.,-,-,-,NBC - Heroes,good,Female,-,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,0
Jigsaw,/jigsaw/10-887/,60,45,45,60,45,85,Billy Russo,Jigsaw (MCU),"Billy the Beaut, Jigsaw Punisher",-,Amazing Spider-Man #162 (Nov. 1976),Marvel Comics,bad,Male,-,6'2 : 188 cm,250 lb : 113 kg,Blue,Black,Professional mobster,"Manhattan, New York",No team connections added yet.,-,,340
Jim Powell,/jim-powell/10-1354/,75,40,25,80,25,20,Jim Powell,No alter egos found.,-,-,No Ordinary Family S01E01 (2010),ABC Studios,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,Police Sketch Artist,-,No team connections added yet.,"Stephanie Powell (wife), Daphne Powell (duaghter) and JJ Powell (son)",,265
JJ Powell,/jj-powell/10-1357/,95,10,10,10,15,10,JJ Powell,No alter egos found.,-,-,No Ordinary Family S01E01 (2010),ABC Studios,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,Student,-,No team connections added yet.,"Jim Powell and Stephanie Powell (parents), Daphne Powell (sister)",,150
Johann Krauss,/johann-krauss/10-1121/,,,,,,,Johann Krauss,No alter egos found.,-,-,B.P.R.D. - Hollow Earth and Other Stories (2003),Dark Horse Comics,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,-,-,Bureau for Paranormal Research and Defense,-,,0
John Constantine,/john-constantine/10-718/,85,10,10,40,55,65,John Constantine,No alter egos found.,Hellblazer,-,"Swamp Thing Vol 2 #37 (June, 1985)",DC Comics,good,Male,Human,6'0 : 183 cm,- lb : 0 kg,Blue,Blond,-,-,Justice Legion Alpha,"Thomas Constantine (father, deceased), Cheryl Constantine (sister, deceased)",,265
John Wraith,/john-wraith/10-1314/,90,15,35,30,90,80,John Wraith,No alter egos found.,"Wraith-Man, Kestrel, Expediter, Guardian, Vindicator",-,"Wolverine Vol 2 #60 (September, 1992)",Marvel Comics,good,Male,-,6'0 : 183 cm,195 lb : 88 kg,Brown,Black,"Former Spy, Government Operative, Mercenary, Soldier",-,No team connections added yet.,-,,340
Joker,/joker/10-719/,100,10,15,60,45,70,Jack Napier,Joker (DCEU),"Red Hood I, Clown Prince of Crime, Harlequin of Hate, Jack Napier, Joe Kerr, Mr. J",-,Batman #1 (Spring 1940),DC Comics,bad,Male,Human,6'5 : 196 cm,192 lb : 86 kg,Green,Green,-,"Arkham Asylum, Gotham City; Ha-Hacienda","Suicide Squad (Leader), Injustice League (Leader), League of Assassins (Leader), Formerly: Injustice Gang of the World, Black Glove","Jeannie (wife, deceased); Unborn son (deceased); Melvin Reipan (cousin, deceased)",White,300
Jolt,/jolt/10-1323/,85,15,30,35,35,45,Helen Takahama,No alter egos found.,"Holly Tsuruta, Hallie Shimosato","Ojai, California",Thunderbolts #1 (1997),Marvel Comics,good,Female,-,5'5 : 165 cm,109 lb : 49 kg,Blue,Black,Adventurer,-,"America Redeemers, Formerly: Thunderbolts","Robert (father, deceased), Jane (mother, deceased)",,245
Jubilee,/jubilee/10-87/,80,10,25,20,70,90,Jubilation Lee,"Jubilee (FOX), Jubilee (Full Potential), Vampire Jubilee",Jubes,"Beverly Hills, California","Uncanny X-Men #244 (May, 1989)",Marvel Comics,good,Female,Mutant,5'5 : 165 cm,115 lb : 52 kg,Red,Black,"Student, Adventurer","Xavier Institute, Salem Center, Westchester County, New York","Cerebro's X-Men, The Runaways, Generation X, Formerly: X-Men, Alpha Flight","Dr. and Mrs. Lee (parents, deceased)",,295
Judge Dredd,/judge-dredd/10-1163/,90,20,40,50,55,95,Joseph Dredd,No alter egos found.,"The Dead Man, Joe",Mega City One,2000 AD no. 2 (5 March 1977),Rebellion,good,Male,Human,6'2 : 188 cm,- lb : 0 kg,-,-,Mega-City Judge,Mega City One,Mega-City One Justice Department,"Rico Dredd (brother), Judge Kraken (clone), Vienna (niece),",,350
Juggernaut,/juggernaut/10-826/,75,100,45,100,85,70,Cain Marko,"Juggernaut (8th Day), Juggernaut (FOX), Juggernaut (Trion)","Kuurth, Captain Universe","Berkeley, California","X-Men #12 (July, 1965)",Marvel Comics,neutral,Male,Human,9'5 : 287 cm,1900 lb : 855 kg,Blue,Red,"Adventurer formerly Professional criminal, mercenary, soldier",-,"Brotherhood of Evil Mutants, Brotherhood of Mutants, Wrecking Crew, Formerly: X-Men, Excalibur, Thunderbolts","Kurt Marko (father, deceased), Marjorie Marko (mother, deceased), Sharon Xavier (step-mother, deceased), Charles Xavier (Professor X, step-brother)",,475
Junkpile,/junkpile/10-10002/,80,40,20,90,85,30,-,No alter egos found.,-,-,"X-Men 2099 #1 (October, 1993)",Marvel Comics,bad,Male,Mutant,- : 0 cm,- lb : 0 kg,-,-,Mercenary; Former member of S.H.I.E.L.D.,-,No team connections added yet.,-,,345
Justice,/justice/10-88/,80,10,35,70,55,30,Vance Astrovik,No alter egos found.,"Marvel Boy, Manglin' John Mahoney, Astounding Astrovik, Superhuman Penitentiary Prisoner 344678, ""Super Tights""",-,"Giant-Size Defenders #5 (July, 1975)",Marvel Comics,good,Male,Human,5'10 : 178 cm,180 lb : 81 kg,Hazel,Brown,Adventurer,"Mobile, formerly New Warriors and Avengers Headquarters, Camp Hammond","Avengers Resistance (Leader), Formerly: Avengers, New Warriors","Jerzy Astroyevicht (aka Jerry Astrovik; paternal grandfather); Katerina Astroyevicht (aka Katerina Astrovik; paternal grandmother); Arnold Astrovik (father, deceased); Norma Astrovik (mother);",,280
Jyn Erso,/jyn-erso/10-10562/,70,40,50,50,55,85,-,No alter egos found.,-,-,Star Wars : Rogue One (2016),George Lucas,good,Female,Human,- : 0 cm,- lb : 0 kg,Green,Brown,-,-,Rogue One,-,,350
K-2SO,/k-2so/10-10643/,,,,,,,-,No alter egos found.,"Kaytoo Esso, Kay-Tuesso",Galactic Empire,Rogue One: A Star Wars Story (2016),George Lucas,good,Male,Android,7'0 : 213 cm,- lb : 0 kg,White,No Hair,-,-,Rogue One,-,Gray,0
Kang,/kang/10-1053/,100,50,60,70,100,70,Nathaniel Richards,"Immortus, Iron Lad","Blue Man, Victor Timely, Blue Totem, Scarlet Centurion, Rama-Tut, King of Kings, Master of Men, Lord of the Seven Suns","Other Earth, 31st century",(As Rama-Tut) Fantastic Four #19 (1963); (as Kang) Avengers #8 (1964),Marvel Comics,bad,Male,-,6'3 : 191 cm,230 lb : 104 kg,Brown,Brown,-,-,No team connections added yet.,"Cassandra Richards, their unnamed son, and matriarch of the Eyriennes; Tara Richards, Reed Richards ( Mister Fantastic ), Franklin Richards, Valeria Richards (all ancestors); various Eyriennes (common ancestry); Victor Von Doom (Doctor Doom, alleged ancestor); Ramades (son), Marcus Kang I-XXIII (sons, deceased); Immortus, Iron Lad, and numerous other alternate dimensional counterparts and their offspring",,450
Karate Kid,/karate-kid/10-721/,85,65,70,20,50,100,-,No alter egos found.,"Wes Holloway, Trident, Wes Holloway",Orando,Adventure Comics #346,DC Comics,good,Male,Human,5'8 : 173 cm,160 lb : 72 kg,Brown,Brown,-,-,Legion of Super-Heroes,"Kirau Nezumi (father), Valentina Armorr (mother), Sensei (adoptive father), Projectra (wife)",,390
Kathryn Janeway,/kathryn-janeway/10-10581/,90,10,25,25,25,50,Kathryn M. Janeway,No alter egos found.,-,"Bloomington, Indiana, Earth",-,Star Trek,good,Female,Human,- : 0 cm,- lb : 0 kg,-,-,Fleet Commander,-,"Federation, Starfleet","Edward Janeway (father), Gretchen Janeway (mother)",,225
Katniss Everdeen,/katniss-everdeen/10-10484/,80,10,25,25,25,55,-,No alter egos found.,-,-,-,,good,Female,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,220
Kevin 11,/kevin-11/10-1408/,65,10,15,15,100,40,Kevin Ethan Levin,No alter egos found.,"Kevin 11,000, Curtis, Osmosian, Kev, Kevin Ethan, Levin, Ultimate Kevin, Doofus, An Empty Shell, Kevin E. Levin",-,Ben 10 S01,DC Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,-,Black,-,-,No team connections added yet.,"Mrs. Levin (mother), Devlin Levin (alternate future son), Ben Tennyson (Ben 10, best friend), Harvey Hackett (Stepfather), Gwen Tennyson(girlfriend)",,245
Kick-Ass,/kick-ass/10-1158/,75,10,25,35,25,60,Dave Lizewski,No alter egos found.,Kickass,New York City,Kick Ass #1,Icon Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,Blue,Blond,Student,-,No team connections added yet.,"Mother (unnamed, deceased), Father (unnamed)",,230
